,Question,Answer,Model Guess,Label
0,enormously,tremendously,tremendously,correct
1,provisions,stipulations,provision,wrong
2,haphazardly,randomly,artfully,wrong
3,prominent,conspicuous,influential,wrong
4,zenith,pinnacle,pinnacle,correct
5,flawed,imperfect,fundamentally,wrong
6,urgently,desperately,assistance,wrong
7,consumed,eaten,eaten,correct
8,advent,coming,introduction,wrong
9,concisely,succinctly,succinctly,correct
10,salutes,greetings,salute,wrong
11,solitary,alone,confinement,wrong
12,hasten,accelerate,accelerate,correct
13,perseverance,endurance,tenacity,wrong
14,fanciful,imaginative,imaginative,correct
15,showed,demonstrated,showing,wrong
16,constantly,continually,continually,correct
17,issues,subjects,issue,wrong
18,furnish,supply,furnished,wrong
19,costly,expensive,expensive,correct
20,recognized,acknowledged,recognised,wrong
21,spot,location,spots,wrong
22,make,earn,making,wrong
23,often,frequently,frequently,correct
24,easygoing,relaxed,affable,wrong
25,debate,argument,debates,wrong
26,narrow,thin,narrower,wrong
27,arranged,planned,arrange,wrong
28,infinite,limitless,finite,wrong
29,showy,striking,flashy,wrong
30,levied,imposed,levies,wrong
31,deftly,skillfully,skillfully,correct
32,distribute,circulate,distributing,wrong
33,discrepancies,differences,inconsistencies,wrong
34,prolific,productive,renowned,wrong
35,unmatched,unequaled,unequaled,correct
36,peculiarly,uniquely,uniquely,correct
37,hue,color,tint,wrong
38,hind,rear,legs,wrong
39,highlight,accentuate,highlights,wrong
40,hastily,hurriedly,hurriedly,correct
41,temperate,mild,climates,wrong
42,grin,smile,smile,correct
43,verbally,orally,assaulted,wrong
44,physician,doctor,doctor,correct
45,essentially,basically,basically,correct
46,keen,sharp,eager,wrong
47,situated,positioned,located,wrong
48,principal,major,main,wrong
49,slowly,gradually,gradually,correct
50,built,constructed,constructed,correct
51,tasks,jobs,task,wrong
52,unlikely,improbable,likely,wrong
53,halfheartedly,apathetically,guiltily,wrong
54,annals,chronicles,tigernach,wrong
55,wildly,furiously,exuberant,wrong
56,hailed,acclaimed,lauded,wrong
57,command,mastery,commander,wrong
58,concocted,devised,concocting,wrong
59,prospective,potential,potential,correct
60,generally,broadly,usually,wrong
61,sustained,prolonged,sustaining,wrong
62,perilous,dangerous,treacherous,wrong
63,tranquillity,peacefulness,peacefulness,correct
64,dissipate,disperse,dissipates,wrong
65,primarily,chiefly,chiefly,correct
66,colloquial,conversational,slang,wrong
67,resolved,settled,resolve,wrong
68,feasible,possible,viable,wrong
69,expeditiously,rapidly,speedily,wrong
70,percentage,proportion,proportion,correct
71,terminated,ended,terminate,wrong
72,uniform,alike,uniforms,wrong
73,figure,solve,figures,wrong
74,sufficient,enough,enough,correct
75,fashion,manner,designer,wrong
76,marketed,sold,manufactured,wrong
77,bigger,larger,larger,correct
78,roots,origins,origins,correct
79,normally,ordinarily,usually,wrong
